"","day_of_year","et","rain"
"83",83,1.47277465572479,5.08
"84",84,1.46963341268054,0
"85",85,2.08289315788553,0.254
"86",86,1.46827400331396,0
"87",87,2.22107727578142,0
"88",88,2.38255064465256,0
"89",89,2.54999653005008,0
"90",90,2.9385634361695,0.762
"91",91,2.18745536451027,0
"92",92,1.54947843707802,0
"93",93,1.69835077981778,0
"94",94,2.15498367359498,0
"95",95,1.51327341248792,3.81
"96",96,1.90638806974613,0
"97",97,1.68109501711872,0.508
"98",98,1.10150430340838,0.762
"99",99,0.622687947198642,0
"100",100,1.02211875740218,0
"101",101,1.9404538157035,0
"102",102,1.61726089611203,0
"103",103,1.78399676160761,0
"104",104,1.80019934963829,0
"105",105,1.1978395365681,0
"106",106,2.30938205177542,0
"107",107,1.50928073066067,0
"108",108,1.53044933418813,0
"109",109,1.22194703154056,0
"110",110,0.935684237152627,0
"111",111,0.675018705285077,0
"112",112,1.14386607632345,0
"113",113,1.60366355469831,0
"114",114,1.53484394451837,0
"115",115,2.13462142993057,0
"116",116,1.26287295577153,0
"117",117,1.60109248191004,0
"118",118,1.75546210094094,0
"119",119,2.55612115797287,0
"120",120,2.07616858086692,0
"121",121,2.36838690515255,0
"122",122,3.06860284944467,0
"123",123,2.54175883790607,0
"124",124,2.94926611735804,0
"125",125,2.19651992479829,0
"126",126,2.6646982765549,0
"127",127,2.78984144795067,0
"128",128,2.59984339641497,0
"129",129,3.24106503077526,0
"130",130,3.26675331489568,0
"131",131,3.58941392283935,0.508
"132",132,3.78536707655439,6.604
"133",133,4.04087211105545,0.254
"134",134,3.89032303357726,1.016
"135",135,2.2002073222914,0
"136",136,3.54687805748957,2.794
"137",137,3.49140164317299,2.54
"138",138,2.80859695813495,3.81
"139",139,3.01172435451796,3.048
"140",140,3.59585285909203,0.254
"141",141,3.61678514609055,5.588
"142",142,3.33211101400127,5.588
"143",143,3.02726200936449,0
"144",144,2.44354014633202,0
"145",145,3.54685977215429,0
"146",146,3.77450613360462,0
"147",147,2.83332536968506,0
"148",148,1.40426968143296,0
"149",149,2.64472740094405,0
"150",150,3.24801974109129,0
"151",151,3.11054008337365,2.286
"152",152,3.13733573021382,1.016
"153",153,3.50725168877269,1.016
"154",154,2.89246920771754,0.254
"155",155,3.67966824064865,1.524
"156",156,4.39454091658343,1.778
"157",157,2.85683846521243,0
"158",158,3.94214586197916,0
"159",159,3.01379745176181,1.016
"160",160,3.59425465659586,1.016
"161",161,4.16755206657436,0
"162",162,4.65193997467004,0
"163",163,3.05588373456143,0
"164",164,4.70394116598575,0
"165",165,4.36305599847284,0
"166",166,3.50062163292547,0
"167",167,2.87501540132036,0
"168",168,2.84145830910695,0
"169",169,4.14795112258043,0
"170",170,5.27381935029644,0
"171",171,5.58094952575089,0
"172",172,4.29762550302615,0
"173",173,5.08417700955091,0
"174",174,3.18054602399648,0
"175",175,5.65461159576808,0
"176",176,3.76560364586596,0
"177",177,3.76061092655881,0
"178",178,4.29921805718165,0
"179",179,4.47791917881775,0.254
"180",180,4.525290956958,0
"181",181,4.8635940398123,0
"182",182,4.90073689034955,0
"183",183,3.40521742922327,0
"184",184,4.76075471331937,0
"185",185,3.92324149169767,0
"186",186,4.63069931826714,14.732
"187",187,4.75485271824016,0
"188",188,3.00981043523429,0.254
"189",189,4.00314109042892,1.778
"190",190,5.39114291442994,9.398
"191",191,5.85367408477793,0.254
"192",192,5.51114402825415,0.254
"193",193,5.74946186875847,1.016
"194",194,3.55108703160678,1.27
"195",195,6.04726675170686,1.524
"196",196,5.82330719800063,0
"197",197,4.29248090029554,0
"198",198,4.35754287652896,0
"199",199,3.09707990540884,0
"200",200,3.45432713132341,0
"201",201,4.51195264797182,0
"202",202,5.82190229250101,0
"203",203,5.88303613430296,0
"204",204,4.64203721612995,0
"205",205,3.95849356560335,0
"206",206,5.17501769626558,0
"207",207,3.62374177027195,0
"208",208,2.36958974937565,0
"209",209,2.48037967014731,0
"210",210,2.17226977378373,0
"211",211,3.10374426408983,1.524
"212",212,3.97393428828183,1.524
"213",213,6.12552204176922,1.016
"214",214,5.4076494012293,1.778
"215",215,3.12928655143542,0
"216",216,2.94219305075052,1.778
"217",217,3.47118069008397,1.778
"218",218,3.43627435327088,0
"219",219,3.495465603631,0
"220",220,3.82898003456226,0
"221",221,4.18526990605174,0
"222",222,3.23121083691034,0
"223",223,3.40777569650402,0
"224",224,5.7312950489549,0
"225",225,2.71657409042239,0
"226",226,3.64757254953818,0
"227",227,3.80855846805083,0
"228",228,4.49805039943199,0
"229",229,5.07609214778278,0
"230",230,4.77076469058619,0
"231",231,5.04126435150647,0
"232",232,5.3070905580653,0
"233",233,5.58957725100129,0
"234",234,5.74444333252695,0
"235",235,5.2406453631103,0
"236",236,5.1402258756101,0
"237",237,4.88276360755133,0
"238",238,5.01145278502866,0
"239",239,4.06061218924795,0
"240",240,3.61874374295883,0
"241",241,3.44903117866514,1.27
"242",242,4.44267689681562,0
"243",243,4.62333153658942,0
"244",244,2.98827588018185,0
"245",245,5.17975020885654,0
"246",246,5.91727498636221,0
"247",247,5.76879347971304,0.254
"248",248,5.32883988055539,0.254
"249",249,5.46346732665021,0
"250",250,5.38607365830659,0
"251",251,5.36340771958585,0
"252",252,5.38693006129721,0
"253",253,5.18529564954057,0
"254",254,5.05387357104559,0
"255",255,3.49761503916726,0
"256",256,4.79177449695018,0
"257",257,4.39823259214186,0
"258",258,4.74999711764167,0
"259",259,4.9288587810389,3.302
"260",260,5.09964699303289,0
"261",261,5.5389572288073,0
"262",262,5.63961213399738,0
"263",263,5.18126633297324,0
"264",264,4.05344751751759,0
"265",265,5.25437492556529,0
"266",266,3.0635912010575,0
"267",267,5.30852006289946,0
"268",268,3.19435901948037,0
"269",269,4.03978215994863,0
"270",270,4.35818628352307,0
"271",271,4.65614769248873,0
"272",272,4.88121856482532,0
"273",273,3.99367619807551,0
"274",274,5.22607693694424,0
"275",275,3.08254506295874,0
"276",276,3.21778843239905,0
"277",277,2.88493956205849,0
"278",278,3.43700762687372,0
"279",279,3.55066614648186,0
"280",280,3.81018691753981,0
"281",281,3.91947272875646,0
"282",282,3.94831010477569,0
"283",283,4.02401266297265,0
"284",284,4.0356528187482,0
"285",285,4.47292684878207,0
"286",286,3.67803401024632,0
"287",287,3.78460551116221,0
"288",288,3.59845901744718,0
"289",289,3.46405380252949,0
"290",290,3.42902631975152,0
"291",291,3.35950876295336,0
"292",292,2.88298841495194,3.81
"293",293,3.05400953899255,0.254
"294",294,3.50507024806117,0
"295",295,3.85103594811369,0
"296",296,3.04759850926797,0
"297",297,3.77605700458797,0
"298",298,3.83691466249592,0
"299",299,3.343454679914,0
"300",300,2.7856886412678,0
"301",301,3.2536310785052,1.27
"302",302,3.04219809466665,0
"303",303,2.04853100868939,0
"304",304,1.80017722125682,0.254
"305",305,3.20866683842214,7.62
"306",306,2.73185350497125,1.27
"307",307,2.39923239144689,0
"308",308,2.69412206988766,0
"309",309,2.77697504384564,0
"310",310,2.28446154390921,0
"311",311,2.73550130035041,0.254
"312",312,2.93663351080411,2.032
"313",313,2.9966112195178,0.254
"314",314,3.01493624813544,0
"315",315,2.64965770620036,0
"316",316,1.8008512668646,0.254
"317",317,2.72214978863774,0
"318",318,2.67538185092132,0
"319",319,2.70727576462126,2.54
"320",320,2.73124653568302,0
"321",321,2.6193344779581,0
"322",322,2.58981775034449,0
"323",323,2.47349794906936,0
"324",324,2.50754172094104,0
"325",325,2.27528571439782,0.254
"326",326,1.64866505043593,0
"327",327,2.39379302712003,0.254
"328",328,1.68850279528511,4.318
"329",329,2.18485223381041,1.016
"330",330,2.30689400221652,0
"331",331,2.1012916624035,0
"332",332,2.26014008821289,0
"333",333,2.07777720031889,0
"334",334,2.13872824106957,0
"335",335,2.12455059716026,2.794
"336",336,2.19307082585927,1.016
"337",337,2.51238563957659,9.398
"338",338,2.45706544677592,11.938
"339",339,2.37513183274859,0.254
"340",340,1.97015673734475,19.304
"341",341,1.52818082052516,0.508
"342",342,1.29845718396917,0.762
"343",343,0.871331686624805,4.572
"344",344,1.2995116242618,4.826
"345",345,1.74229624321712,8.128
"346",346,1.94872493731052,7.62
"347",347,1.7554852825206,34.798
"348",348,2.13354354707774,0.508
"349",349,2.16092647970421,0.254
"350",350,2.05467390057711,0.254
"351",351,1.92189311785989,0.762
"352",352,1.98400176375038,0.762
"353",353,2.09081989826744,1.27
"354",354,1.88113081298238,0.762
"355",355,1.89209125552513,6.858
"356",356,2.03172699179834,1.016
"357",357,1.90851617541742,0.254
"358",358,1.39040364284451,0.254
"359",359,1.58439886420139,3.048
"360",360,1.32844198656654,0
"361",361,1.42871559912302,0.254
"362",362,1.80218141911763,6.858
"363",363,2.00313969856962,1.524
"364",364,2.27397007442579,2.794
"365",365,2.36286581852446,0.254
